Local Government Area,Owned - outright,Owned - with a mortgage,Rented - Real estate agent,Rented - State or territory housing authority,Rented - Person not in same household,"Rented - Housing co-operative, community or church group",Rented - Other landlord type ,Rented - Landlord type not stated,Other tenure type,Tenure type not stated,Total,Median mortgage repayment ($/monthly),State
LGA10050 Albury (C),"5,440","6,403","3,783",827,"1,067",144,170,88,149,545,"18,616","1,450",New South Wales
LGA10110 Armidale Dumaresq (A),"2,888","2,322","1,803",451,519,103,123,76,71,233,"8,589","1,430",New South Wales
LGA10150 Ashfield (A),"4,408","4,240","4,624",231,972,158,93,62,125,384,"15,297","2,167",New South Wales
LGA10200 Auburn (C),"5,505","7,104","5,824",836,"1,432",130,236,128,135,751,"22,081","2,000",New South Wales
LGA10250 Ballina (A),"6,274","4,169","2,415",602,"1,065",135,241,93,199,404,"15,597","1,733",New South Wales
LGA10300 Balranald (A),327,216,44,21,86,20,47,23,11,32,827,867,New South Wales
LGA10350 Bankstown (C),"19,468","18,982","7,236","5,296","2,736",469,508,305,394,"1,842","57,236","2,000",New South Wales
LGA10470 Bathurst Regional (A),"4,472","4,692","2,385",556,840,72,106,99,71,362,"13,655","1,625",New South Wales
LGA10550 Bega Valley (A),"5,610","3,586","1,462",348,851,102,149,111,114,343,"12,676","1,300",New South Wales
LGA10600 Bellingen (A),"2,236","1,316",572,100,460,31,70,53,52,120,"5,010","1,300",New South Wales
LGA10650 Berrigan (A),"1,437",908,314,27,260,26,76,48,34,118,"3,248","1,181",New South Wales
LGA10750 Blacktown (C),"21,763","40,873","14,194","8,147","4,276",481,699,373,493,"2,358","93,657","2,100",New South Wales
LGA10800 Bland (A),"1,064",604,117,47,173,16,97,43,29,72,"2,262","1,040",New South Wales
LGA10850 Blayney (A),967,916,297,53,150,23,35,27,17,66,"2,551","1,419",New South Wales
LGA10900 Blue Mountains (C),"10,489","11,383","3,338",351,"1,245",200,109,134,275,506,"28,030","1,842",New South Wales
LGA10950 Bogan (A),427,239,58,57,95,13,84,21,6,50,"1,050","1,083",New South Wales
LGA11000 Bombala (A),502,250,32,12,105,4,33,28,8,28,"1,002",975,New South Wales
LGA11050 Boorowa (A),483,251,60,8,68,11,35,17,14,21,968,"1,000",New South Wales
LGA11100 Botany Bay (C),"3,978","4,351","2,952","1,393",691,94,105,81,81,395,"14,121","2,500",New South Wales
LGA11150 Bourke (A),291,205,15,68,98,44,120,28,11,59,939,888,New South Wales
LGA11200 Brewarrina (A),151,68,6,56,42,121,63,35,14,18,574,585,New South Wales
LGA11250 Broken Hill (C),"3,347","2,166",660,103,532,34,184,45,50,314,"7,435",953,New South Wales
LGA11300 Burwood (A),"3,642","2,763","2,702",310,664,84,94,69,69,329,"10,726","2,167",New South Wales
LGA11350 Byron (A),"3,923","3,223","1,562",160,"1,533",68,149,139,103,336,"11,196","1,668",New South Wales
LGA11400 Cabonne (A),"2,051","1,574",276,28,374,38,117,84,50,112,"4,704","1,398",New South Wales
LGA11450 Camden (A),"4,648","9,421","2,112",322,712,56,86,61,151,305,"17,874","2,167",New South Wales
LGA11500 Campbelltown (C),"11,435","19,993","6,492","5,274","1,976",263,207,162,348,"1,138","47,288","1,800",New South Wales
LGA11520 Canada Bay (A),"9,267","8,691","6,539",740,"1,452",117,279,146,142,644,"28,017","2,600",New South Wales
LGA11550 Canterbury (C),"14,112","13,112","10,735","2,679","2,264",408,417,246,297,"1,659","45,929","2,000",New South Wales
LGA11600 Carrathool (A),418,216,13,11,126,12,112,24,17,35,984,867,New South Wales
LGA11700 Central Darling (A),279,71,0,95,50,31,115,25,27,43,736,300,New South Wales
LGA11720 Cessnock (C),"6,344","6,615","2,727",639,895,56,156,118,120,559,"18,229","1,517",New South Wales
LGA11730 Clarence Valley (A),"8,417","5,389","2,420",430,"1,369",170,267,155,135,505,"19,257","1,300",New South Wales
LGA11750 Cobar (A),550,434,210,87,92,50,213,30,10,46,"1,722","1,300",New South Wales
LGA11800 Coffs Harbour (C),"9,284","7,492","4,513","1,151","1,866",225,360,188,326,670,"26,075","1,564",New South Wales
LGA11860 Conargo (A),231,169,6,0,48,0,42,30,14,9,549,"1,018",New South Wales
LGA12000 Coolamon (A),688,481,39,15,153,7,25,18,14,47,"1,487","1,200",New South Wales
